Category,Attribute,Value
Base Setup,Date,5/23/2023
Base Setup,Time,10:03:52 AM
Base Setup,Base name,Salk base
Base Setup,Receiver type,Trimble R750 SN: 6251R05750
Base Setup,Corrections broadcasted via,Radio in Receiver
Base Setup,Radio type,TNL900I
Base Setup,Radio network,16
Base Setup,Base ant. height(APC),0.214 usft
Base Setup,Base latitude,"32°54'20.78011"" N"
Base Setup,Base longitude,"117°09'26.18587"" W"
Base Setup,Base height,294.021 usft
Base Setup,Elevation mask,10
eBubble Calibration,Date,5/23/2023
eBubble Calibration,Time,10:15:45 AM
eBubble Calibration,Status,Successful
Rover Setup,Date,5/23/2023
Rover Setup,Time,10:15:48 AM
Rover Setup,Base name,SALK_BASE
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,16
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°54'20.78012"" N"
Rover Setup,Base longitude,"117°09'26.18587"" W"
Rover Setup,Base height,294.022 usft
Rover Setup,Tilt Compensation,Disabled
Antenna Height,Date,5/23/2023
Antenna Height,Time,10:15:48 AM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Static Mode Settings,Date,5/23/2023
Static Mode Settings,Time,10:20:46 AM
Static Mode Settings,Minimum measuring time,15
Static Mode Settings,Horizontal tolerance,0.082 usft
Static Mode Settings,Vertical tolerance,0.082 usft
Static Mode Settings,Measure method,Bottom of Quick Release
Static Mode Settings,Vertical height,6.562 usft
Static Mode Settings,Using Quick Release,Yes
Static Mode Settings,Tilt Compensation,Disabled
DC File Information,Date,5/23/2023
DC File Information,Time,11:52:24 AM
DC File Information,Projection,
DC File Information,Type,Transverse Mercator
DC File Information,Origin lat,"32°54'17.50395"" N"
DC File Information,Origin long,"117°09'23.31123"" W"
DC File Information,Origin height,---
DC File Information,Origin north,1910216.493 usft
DC File Information,Origin east,6283457.369 usft
DC File Information,Origin elev,---
DC File Information,Scale factor,1.000013656
DC File Information,Orient1,---
DC File Information,Orient2,---
DC File Information,Datum,
DC File Information,Transformation type,Molodensky
DC File Information,Earth radius,20925604.47
DC File Information,Flattening,298.2572229
DC File Information,Rotation x,"0°00'00"""
