SubName,SubAddress,SubEmail,SubTrait,SubPhoneNumber,InvitationStatus,BidStatus,QuoteRecieved,Project,ProjectAddress
LEED ELECTRIC INC,,estimating@leedelectric.com,,(562) 270 9500,Responsive,Not Bidding,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
CELL - CRETE FIREPROOFING OF NEVADA INC,,,,(626) 357 3500,Responsive,Not Bidding,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
GOLDEN STATE ROOFING,,,,(424) 287 2309,Responsive,Not Bidding,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
WEST VALLEY INVESTMENT GROUP,,,,(818) 996 3663,Responsive,Not Bidding,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
Y T I ENTERPRISES INC,,ytluciana@gmail.com,TOILET ACCESSORIES,714-666-9280,Responsive,Bidding,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
CASTON INC,,,,(909) 381 1619,Responsive,Not Bidding,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
BOGH ENGINEERING LLC,,,,(951) 845 4607,Responsive,Not Bidding,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
SUNBELT FLOORING INC,,,,(909) 606 7623,Responsive,Not Bidding,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
TYNER PAVING COMPANY,,,,(323) 225 8014,Responsive,Not Bidding,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
DUNCAN WARREN CONTRACTING,,,,(909) 880 8501,Responsive,Not Bidding,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
TAFT ELECTRIC COMPANY,,,,(805) 642 0121,Responsive,Not Bidding,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
SOUTHWEST V-DITCH INC,,mail@swvdith.com,CONCRETE,(951) 781 4303,Responsive,Bidding,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
SIMPSON SAND BLASTING AND SPECIAL COATINGS INC,,,,(909) 829 0000,Responsive,Not Bidding,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
FIVE STAR FENCE,,info@fivestarfences.com,FENCING,(818) 890 0500,Responsive,Bidding,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
KERNS INC A CALIFORNIA CORPORATION,,,,(760) 949 8800,Responsive,Not Bidding,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
FENCECORP INC,,,,(951) 686 3170,msg,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
ADVANTAGE DEMOLITION AND GRADING INC,,,,(909) 321 5220,Responsive,Not Bidding,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
KRETSCHMAR MASONRY,,,,(951) 361 1405,msg,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
SOUTHERN CALIFORNIA LANDSCAPE INC,,,,(909) 350 3522,msg,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
PRO FLOORING CORPORATION,,,,(818) 541 0545,Responsive,Not Bidding,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
A R A CONSTRUCTION,,,,(415) 999 1245,Responsive,Not Bidding,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
GEO H WILSON MECHANICAL CONTRACTORS,,,,(831) 423 9522,msg,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
CONTINENTAL MARBLE AND TILE COMPANY,,dawn@twc-corp.com,FENCING,(951) 284 1776,Responsive,Not Bidding,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
TEAM WEST CONTRACTING CORPORATION,,,,(909) 421 4450,msg,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
SIMMONS AND WOOD INC,,,,(619) 561 1318,Responsive,Bidding,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
SIERRA LATHING COMPANY INC,,,,(909) 421 0211,Responsive,Not Bidding,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
